bdx_real_main_volume  |                root  |                         World  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | f00000   |                 Box  |                               600.01*cm 400.01*cm 600.01*cm  |         G4_CONCRETE  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     bdx_main_volume  |bdx_real_main_volume  |                concrete walls  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | f00000   |                 Box  |                                        600*cm 400*cm 600*cm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
                 PMT  |     bdx_main_volume  |                    PMT volume  |                                 0*cm 0*cm -5.3*cm  |                       0*deg 0*deg 0*deg  | c0c0c0   |                Tube  |                  ./bdx.pl.*cm 4.1*cm 1.5*cm 0.*deg 360.*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       reflectorSide  |     bdx_main_volume  |          Al2O3 reflector side  |                                 0*cm 0*cm 0.15*cm  |                       0*deg 0*deg 0*deg  | e4e3e4   |                Tube  |                         3.8*cm 4*cm 3.95*cm 0.*deg 360.*deg  |               Al2O3  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      reflectorFront  |     bdx_main_volume  |         Al2O3 reflector front  |                                 0*cm 0*cm 3.95*cm  |                       0*deg 0*deg 0*deg  | e4e3e4   |                Tube  |                        0.*cm 3.8*cm 0.15*cm 0.*deg 360.*deg  |               Al2O3  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          siliconpad  |     bdx_main_volume  |                   Silicon pad  |                                  0*cm 0*cm 4.2*cm  |                       0*deg 0*deg 0*deg  | d1e7f4   |                Tube  |                           0.*cm 4*cm 0.1*cm 0.*deg 360.*deg  |            Silicone  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
               alcup  |     bdx_main_volume  |                        Al cup  |                                0*cm 0*cm 0.325*cm  |                       0*deg 0*deg 0*deg  | c0c0c0   |                Tube  |                       4*cm 4.15*cm 4.125*cm 0.*deg 360.*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          alcupFront  |     bdx_main_volume  |                   Alcup front  |                                0*cm 0*cm 4.375*cm  |                       0*deg 0*deg 0*deg  | c0c0c0   |                Tube  |                         0.*cm 4*cm 0.075*cm 0.*deg 360.*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             crystal  |     bdx_main_volume  |                       Crystal  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 00ffff   |                Tube  |                            0*cm 3.8*cm 3.8*cm 0*deg 360*deg  |              NaI_Tl  |                  no  |     1   |     1   |     1   |   1   |   1   |                 crs  |                 crs  |sector manual 600 xch manual 0 ych manual 0 
