0.000E+00 2.136E+11
1.000E-07 3.286E+10
2.000E-07 4.108E+10
3.000E-07 1.643E+10
4.000E-07 0.000E+00
5.000E-07 2.465E+10
6.000E-07 8.215E+09
7.000E-07 8.215E+09
8.000E-07 8.215E+09
9.000E-07 0.000E+00
1.000E-06 0.000E+00
1.100E-06 0.000E+00
1.200E-06 0.000E+00
1.300E-06 2.465E+10
1.400E-06 0.000E+00
1.500E-06 0.000E+00
1.600E-06 0.000E+00
1.700E-06 0.000E+00
1.800E-06 0.000E+00
1.900E-06 8.215E+09
2.000E-06 0.000E+00
2.100E-06 0.000E+00
2.200E-06 0.000E+00
2.300E-06 0.000E+00
2.400E-06 0.000E+00
2.500E-06 8.215E+09
2.600E-06 0.000E+00
2.700E-06 8.215E+09
2.800E-06 8.215E+09
2.900E-06 8.215E+09
3.000E-06 0.000E+00
3.100E-06 0.000E+00
3.200E-06 8.215E+09
3.300E-06 0.000E+00
3.400E-06 0.000E+00
3.500E-06 0.000E+00
3.600E-06 0.000E+00
3.700E-06 0.000E+00
3.800E-06 0.000E+00
3.900E-06 0.000E+00
4.000E-06 0.000E+00
4.100E-06 8.215E+09
4.200E-06 0.000E+00
4.300E-06 8.215E+09
4.400E-06 0.000E+00
4.500E-06 0.000E+00
4.600E-06 0.000E+00
4.700E-06 8.215E+09
4.800E-06 0.000E+00
4.900E-06 0.000E+00
5.000E-06 0.000E+00
5.100E-06 0.000E+00
5.200E-06 0.000E+00
5.300E-06 8.215E+09
5.400E-06 0.000E+00
5.500E-06 8.215E+09
5.600E-06 0.000E+00
5.700E-06 1.643E+10
5.800E-06 0.000E+00
5.900E-06 8.215E+09
6.000E-06 0.000E+00
6.100E-06 0.000E+00
6.200E-06 0.000E+00
6.300E-06 0.000E+00
6.400E-06 0.000E+00
6.500E-06 0.000E+00
6.600E-06 0.000E+00
6.700E-06 0.000E+00
6.800E-06 0.000E+00
6.900E-06 0.000E+00
7.000E-06 0.000E+00
7.100E-06 0.000E+00
7.200E-06 0.000E+00
7.300E-06 0.000E+00
7.400E-06 0.000E+00
7.500E-06 0.000E+00
7.600E-06 0.000E+00
7.700E-06 0.000E+00
7.800E-06 1.643E+10
7.900E-06 0.000E+00
8.000E-06 0.000E+00
8.100E-06 0.000E+00
8.200E-06 8.215E+09
8.300E-06 0.000E+00
8.400E-06 0.000E+00
8.500E-06 0.000E+00
8.600E-06 0.000E+00
8.700E-06 0.000E+00
8.800E-06 0.000E+00
8.900E-06 0.000E+00
9.000E-06 0.000E+00
9.100E-06 0.000E+00
9.200E-06 0.000E+00
9.300E-06 0.000E+00
9.400E-06 0.000E+00
9.500E-06 0.000E+00
9.600E-06 0.000E+00
9.700E-06 0.000E+00
9.800E-06 0.000E+00
9.900E-06 0.000E+00
1.000E-05 8.215E+10
1.900E-05 5.751E+10
2.800E-05 5.751E+10
3.700E-05 3.286E+10
4.600E-05 0.000E+00
5.500E-05 8.215E+09
6.400E-05 1.643E+10
7.300E-05 1.643E+10
8.200E-05 1.643E+10
9.100E-05 8.215E+09
1.000E-04 6.079E+11
1.090E-03 1.643E+11
2.080E-03 9.858E+10
3.070E-03 4.929E+10
4.060E-03 4.108E+10
5.050E-03 2.465E+10
6.040E-03 3.286E+10
7.030E-03 1.643E+10
8.020E-03 4.108E+10
9.010E-03 1.643E+10
1.000E-02 4.108E+10
1.100E-02 0.000E+00
1.200E-02 8.215E+09
1.300E-02 0.000E+00
1.400E-02 0.000E+00
1.500E-02 2.465E+10
1.600E-02 4.108E+10
1.700E-02 8.215E+09
1.800E-02 2.465E+10
1.900E-02 8.215E+09
2.000E-02 8.215E+09
2.080E-02 0.000E+00
2.160E-02 1.643E+10
2.240E-02 2.465E+10
2.320E-02 0.000E+00
2.400E-02 0.000E+00
2.480E-02 0.000E+00
2.560E-02 8.215E+09
2.640E-02 0.000E+00
2.720E-02 0.000E+00
2.800E-02 0.000E+00
2.880E-02 0.000E+00
2.960E-02 1.643E+10
3.040E-02 8.215E+09
3.120E-02 0.000E+00
3.200E-02 2.465E+10
3.280E-02 0.000E+00
3.360E-02 0.000E+00
3.440E-02 8.215E+09
3.520E-02 0.000E+00
3.600E-02 8.215E+09
3.680E-02 2.465E+10
3.760E-02 1.643E+10
3.840E-02 8.215E+09
3.920E-02 4.108E+10
4.000E-02 8.215E+09
4.080E-02 8.215E+09
4.160E-02 0.000E+00
4.240E-02 8.215E+09
4.320E-02 8.215E+09
4.400E-02 2.465E+10
4.480E-02 1.643E+10
4.560E-02 8.215E+09
4.640E-02 0.000E+00
4.720E-02 0.000E+00
4.800E-02 8.215E+09
4.880E-02 8.215E+09
4.960E-02 8.215E+09
5.040E-02 8.215E+09
5.120E-02 0.000E+00
5.200E-02 8.215E+09
5.280E-02 0.000E+00
5.360E-02 0.000E+00
5.440E-02 8.215E+09
5.520E-02 1.643E+10
5.600E-02 2.465E+10
5.680E-02 8.215E+09
5.760E-02 8.215E+09
5.840E-02 8.215E+09
5.920E-02 8.215E+09
6.000E-02 8.215E+09
6.080E-02 8.215E+09
6.160E-02 8.215E+09
6.240E-02 3.286E+10
6.320E-02 8.215E+09
6.400E-02 8.215E+09
6.480E-02 1.643E+10
6.560E-02 1.643E+10
6.640E-02 0.000E+00
6.720E-02 8.215E+09
6.800E-02 8.215E+09
6.880E-02 8.215E+09
6.960E-02 4.929E+10
7.040E-02 8.215E+09
7.120E-02 2.465E+10
7.200E-02 1.643E+10
7.280E-02 0.000E+00
7.360E-02 8.215E+09
7.440E-02 1.643E+10
7.520E-02 1.643E+10
